"Geneid","syn3A_3A","Illumina_TPM"
"JCVISYN3A_0001",8.55091281775531,375.043159309912
"JCVISYN3A_0002",8.30558704845529,316.395889876313
"JCVISYN3A_0003",6.87273553445182,117.192426932635
"JCVISYN3A_0004",6.45063980365027,87.4653568024499
"JCVISYN3A_0005",8.67262975246077,408.05781220967
"JCVISYN3A_0006",10.011383215908,1032.11156891494
"JCVISYN3A_0007",10.5086163807681,1456.82955513278
"JCVISYN3A_0008",9.50069660059062,724.42704673633
"JCVISYN3A_0009",7.46149803347751,176.252270637407
"JCVISYN3A_0010",8.9598787407933,497.957477752485
"JCVISYN3A_0011",8.46079639531866,352.333146422223
"JCVISYN3A_0012",7.46081869940858,176.169296770389
"JCVISYN3A_0918",9.21385468398199,593.808808471672
"JCVISYN3A_0913",13.0216428551642,8315.82022946351
"JCVISYN3A_0025",11.1628764811975,2292.77088806091
"JCVISYN3A_0026",11.9402649243443,3929.86741419473
"JCVISYN3A_0027",10.9207706499209,1938.56131266851
"JCVISYN3A_0029",9.86471857238823,932.344018805723
"JCVISYN3A_0030",10.7704913665017,1746.79109540306
"JCVISYN3A_0033",5.89144293163822,59.3609769926566
"JCVISYN3A_0034",5.78147713150803,55.0044765190915
"JCVISYN3A_0039",12.4827995328547,5723.96657775813
"JCVISYN3A_0040",6.75293626705794,107.854029478217
"JCVISYN3A_0042",6.98816700645715,126.954436936506
"JCVISYN3A_0043",6.81525466924346,112.614959124227
"JCVISYN3A_0044",5.92357760077211,60.6980221068083
"JCVISYN3A_0045",9.05200716464708,530.793599718801
"JCVISYN3A_0046",7.58140227959523,191.526774753432
"JCVISYN3A_0047",7.62309430656543,197.142403052894
"JCVISYN3A_0051",3.83018239986154,14.2232810337002
"JCVISYN3A_0054",7.89312523499278,237.720948966666
"JCVISYN3A_0060",9.46544042612917,706.938266206114
"JCVISYN3A_0061",9.5110833737341,729.661424555575
"JCVISYN3A_0063",10.5418730713925,1490.80213132583
"JCVISYN3A_0064",9.83996363505722,916.482571243357
"JCVISYN3A_0065",12.0564140052329,4259.33947911464
"JCVISYN3A_0066",10.8402041064731,1833.27069040035
"JCVISYN3A_0076",8.57780297076873,382.099079191393
"JCVISYN3A_0077",8.23878087880896,302.078747711978
"JCVISYN3A_0079",8.72988800930754,424.578647821736
"JCVISYN3A_0080",9.84741697182244,921.229609566816
"JCVISYN3A_0081",6.78603155594534,110.356787560437
"JCVISYN3A_0082",7.89834820215039,238.583126264834
"JCVISYN3A_0094",5.80325648394722,55.8411397875654
"JCVISYN3A_0095",9.99260581892896,1018.76516449435
"JCVISYN3A_0097",7.66571739504327,203.053684418574
"JCVISYN3A_0105",5.52659460808621,46.0967971150842
"JCVISYN3A_0106",6.24632136884457,75.9154366910429
"JCVISYN3A_0107",5.68354022628209,51.394434246007
"JCVISYN3A_0108",5.862169407751,58.1686294742124
"JCVISYN3A_0109",5.82461695361212,56.6740718323014
"JCVISYN3A_0113",8.29209368072793,313.450469553317
"JCVISYN3A_0114",5.07881007464522,33.7966905116902
"JCVISYN3A_0115",10.5332704120387,1481.9390648571
"JCVISYN3A_0116",4.26588584754974,19.2379857271264
"JCVISYN3A_0117",8.6263393092651,395.172655041301
"JCVISYN3A_0126",6.96740082132614,125.140140727898
"JCVISYN3A_0127",7.26254230519506,153.547616255551
"JCVISYN3A_0128",10.4151585593011,1365.44790655506
"JCVISYN3A_0129",9.30883881418719,634.219670802298
"JCVISYN3A_0131",11.5654599548038,3030.75171820696
"JCVISYN3A_0132",6.76434867532115,108.710589906343
"JCVISYN3A_0133",7.20694402508561,147.742801079569
"JCVISYN3A_0137",9.19289217749316,585.243086862956
"JCVISYN3A_0138",6.30680817089208,79.1659515716213
"JCVISYN3A_0139",8.63808131582763,398.402065232477
"JCVISYN3A_0140",8.71580212631151,420.453407295321
"JCVISYN3A_0141",10.7650810156402,1740.25260070399
"JCVISYN3A_0142",6.86121352357595,116.260203084684
"JCVISYN3A_0143",7.19042427906492,146.060703992152
"JCVISYN3A_0144",6.73845274509499,106.77667690082
"JCVISYN3A_0145",8.46669424918792,353.776460969688
"JCVISYN3A_0146",3.35251904983133,10.2143043708942
"JCVISYN3A_0147",4.69389583057539,25.8823342528128
"JCVISYN3A_0148",13.9973129069439,16353.5123660132
"JCVISYN3A_0149",12.4929426148756,5764.35157598083
"JCVISYN3A_0150",13.6098942651825,12502.1991226712
"JCVISYN3A_0151",15.2834089440941,39880.8612126233
"JCVISYN3A_0163",8.98605811936849,507.075977714168
"JCVISYN3A_0164",6.79841990391929,111.308495895846
"JCVISYN3A_0165",10.3089799613621,1268.56344641051
"JCVISYN3A_0166",10.0499112879191,1060.04609721448
"JCVISYN3A_0167",9.74534728952477,858.305414677669
"JCVISYN3A_0168",9.67091298881644,815.145049000173
"JCVISYN3A_0169",10.9304939731268,1951.67075001942
"JCVISYN3A_0195",8.52029830125976,367.168453845076
"JCVISYN3A_0196",8.79458096749402,444.050813997735
"JCVISYN3A_0197",9.59141830370175,771.444363724257
"JCVISYN3A_0198",10.4311985378605,1380.7137524714
"JCVISYN3A_0199",11.843078915233,3673.85485586716
"JCVISYN3A_0200",10.6979646607952,1661.14772386115
"JCVISYN3A_0201",8.76417105698607,434.788827021831
"JCVISYN3A_0202",4.67262992468114,25.5036163075746
"JCVISYN3A_0203",7.93314621065072,244.407747990166
"JCVISYN3A_0213",11.6650002764539,3247.24444580325
